

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs





date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs
170414204357,1,0.0,quicksort,16805,105,159.0238
170414204534,2,1.0,quicksort,28573,181,Infinity
170414204925,3,0.0,quicksort,59152,370,159.76535

date,fase,level,algoritm,ordering,time,ocs
170414205414,1,0.0,quicksort,26676,167,159.24734
170414205453,2,1.0,quicksort,31533,197,79.6489
170414205904,3,2.0,quicksort,63006,395,53.083878
170414210001,4,3.0,quicksort,70267,441,39.81557
170414210040,5,4.0,quicksort,75135,471,31.858124

date,fase,level,algoritm,ordering,time,ocs
170414210217,1,0.0,bubblesort,5462,87,62.323143
170414210451,2,1.0,bubblesort,14241,228,31.202072
170414210725,3,2.0,bubblesort,23043,368,20.833559
170414210959,4,3.0,bubblesort,31831,509,15.629664
170414211214,5,4.0,bubblesort,39543,632,12.512896

date,fase,level,algoritm,ordering,time,ocs
170414211742,1,0.0,bubblesort,2117,30,68.76726
170414211900,2,1.0,bubblesort,6528,101,32.230034
170414211957,3,2.0,bubblesort,9816,154,21.242615
170414212115,4,3.0,bubblesort,14196,224,15.821431
170414212232,5,4.0,bubblesort,18581,294,12.612552

date,fase,level,algoritm,ordering,time,ocs
170414212310,1,0.0,quicksort,4836,30,158.94301
170414212315,2,1.0,quicksort,5474,34,79.531586
170414212330,3,2.0,quicksort,7283,45,53.03361
170414212506,4,3.0,quicksort,19427,122,39.794094
170414212623,5,4.0,quicksort,29124,182,31.830202

date,fase,level,algoritm,ordering,time,ocs
170414214521,1,0.0,quicksort,30082,158,189.87206
170414214526,2,1.0,quicksort,30805,162,94.78578
170414214834,3,2.0,quicksort,58927,316,62.05991
170414214932,4,3.0,quicksort,67679,364,46.474403
170414214952,5,4.0,quicksort,70657,379,37.190834

date,fase,level,algoritm,ordering,time,ocs
170414215128,1,0.0,bubblesort,6379,88,71.7217
170414215423,2,1.0,bubblesort,18190,249,36.447353
170414215501,3,2.0,bubblesort,20812,285,24.33469
170414215814,4,3.0,bubblesort,33825,462,18.27442
170414220401,5,4.0,bubblesort,57408,782,14.664988

date,fase,level,algoritm,ordering,time,ocs
170414220459,1,0.0,bubblesort,1359,17,76.67137
170414220831,2,1.0,bubblesort,13948,211,32.970722
170414220909,3,2.0,bubblesort,16143,246,21.811298
170414221007,4,3.0,bubblesort,19431,299,16.224733
170414221124,5,4.0,bubblesort,23817,369,12.882027

date,fase,level,algoritm,ordering,time,ocs
170414221203,1,0.0,quicksort,4887,30,159.7633
170414221222,2,1.0,quicksort,7326,45,79.8074
170414221241,3,2.0,quicksort,9736,61,53.15339
170414221359,4,3.0,quicksort,19468,122,39.877098
170414221535,5,4.0,quicksort,31608,198,31.879776

date,fase,level,algoritm,ordering,time,ocs
170414225126,1,0.0,quicksort,17411,80,215.40536
170414225224,2,1.0,quicksort,27721,129,107.142586
170414225458,3,2.0,quicksort,54671,258,70.50238
